global_iso_id,molec_id,local_iso_id,nu,sw,a,elower,gp,gp,gpp,nu-err,sw-err,nu-ref,sw-ref
   36, 7,1, 7712.589698, 5.096E-30, 2.539E-05, 1990.2517,   31,   31,   33,4,6,1179, 855
   36, 7,1, 7714.474104, 2.840E-31, 5.400E-05, 2956.3373,   89,   89,   91,5,5,1483,1484
   36, 7,1, 7716.089753, 3.034E-31, 5.726E-05, 2954.7217,   89,   89,   89,5,5,1483,1484
   37, 7,2, 7717.220771, 9.002E-31, 2.571E-05, 1178.1097,   55,   55,   57,5,5,1179, 855
   36, 7,1, 7718.104051, 8.262E-31, 5.395E-05, 2629.6432,   53,   53,   55,4,5,1179, 855
   38, 7,3, 7718.525896, 2.006E-31, 2.464E-05, 1130.0318,  318,  318,  330,5,5,1179, 851
   36, 7,1, 7719.516558, 1.354E-29, 5.005E-07, 1083.4332,   51,   51,   53,5,4,1483,1484
   36, 7,1, 7719.516558, 6.856E-28, 2.534E-05, 1083.4332,   51,   51,   53,5,6,1483,1484
   36, 7,1, 7719.878235, 9.219E-31, 5.971E-05, 2627.8690,   53,   53,   53,4,5,1179, 855
   37, 7,2, 7723.608490, 1.266E-30, 2.568E-05, 1099.7671,   53,   53,   55,5,5,1179, 855
   36, 7,1, 7723.628533, 9.189E-31, 5.374E-05, 2703.8443,   85,   85,   87,5,5,1483,1484
   36, 7,1, 7723.923241, 1.324E-29, 5.524E-08,  544.8622,   33,   33,   37,5,4,1483,1484
   38, 7,3, 7725.054092, 2.809E-31, 2.461E-05, 1052.2850,  306,  306,  318,5,6,1179, 851
   36, 7,1, 7725.161089, 6.844E-30, 2.491E-05, 1896.5637,   27,   27,   29,4,6,1179, 855
   36, 7,1, 7725.261114, 9.873E-31, 5.731E-05, 2702.2118,   85,   85,   85,5,5,1483,1484
   36, 7,1, 7725.906806, 1.573E-30, 5.370E-05, 2479.6468,   49,   49,   51,4,6,1179, 855
   36, 7,1, 7727.698629, 1.769E-30, 5.989E-05, 2477.8549,   49,   49,   49,4,6,1179, 855
   37, 7,2, 7729.962503, 1.756E-30, 2.566E-05, 1024.0981,   51,   51,   53,5,6,1179, 855
   36, 7,1, 7731.071885, 2.021E-32, 3.923E-10,  933.5309,   47,   47,   51,5,4,1483,1484
   38, 7,3, 7731.547681, 3.875E-31, 2.458E-05,  977.2875,  294,  294,  306,5,6,1179, 851
   36, 7,1, 7732.620628, 2.811E-30, 5.348E-05, 2462.4130,   81,   81,   83,5,5,1483,1484
   36, 7,1, 7732.859648, 1.309E-27, 2.520E-05,  931.7432,   47,   47,   49,5,6,1483,1484
   36, 7,1, 7732.859648, 2.452E-29, 4.721E-07,  931.7432,   47,   47,   49,5,4,1483,1484
   36, 7,1, 7733.543899, 2.811E-30, 5.333E-05, 2340.8740,   45,   45,   47,4,6,1179, 855
